A,21.42
AA,4.46
AAC,6.54
AACG,13.22
AACQ,0.61
AACQU,0.76
ACET,3.22
ACEV,0.57
ACEVU,0.72
ACEVW,0.58
ACGL,21.47
ACGLO,3.67
AUD,21.47
AUDC,21.47
AUMN,11.95
AUPH,6.62
AURCU,0.12
AUTL,2.82
STLD,21.47
STM,21.47
STMP,21.47
STN,15.71
STND,10.53
STNE,2.48
STNG,11.05
STOK,1.83
STON,16.59
STOR,6.41
STPC,0.13
STPK,0.52
STRA,21.47
STRL,21.47
STRM,21.47
STRO,2.55
STRR,16.86
STRRP,1.59
STRS,21.47
STRT,21.47
STSA,1.59
STT,21.47
STTK,0.52
STWD,11.68
STWO,0.38
STWOU,0.58
STWOW,0.42
STX,18.36
STXB,2.95
STXS,16.69
STZ,21.47
SU,21.47
SUI,21.47
SULR,0.42
SUM,6.1
SUMO,0.58
SUMR,14.12
SUN,8.58
SUNS,10.15
SUNW,5.28
SUP,21.47
SUPN,8.96
SUPV,4.91
SURF,2.99
SUZ,13.68
SV,0.35
SVAC,0.45
SVACU,0.6
SVACW,0.44
SVAL,0.46
SVBI,20.3
SVC,21.47
SVFA,0.22
SVFAU,0.27
SVFAW,0.22
SVFB,0.1
SVFC,0.1
SVM,15.97
SVMK,2.56
SVOK,0.18
AUTO,20.3
AUUD,0.16
AUUDW,0.16
AUVI,0.62
AUY,17.27
AVA,21.47
SVOKU,0.33
SVOKW,0.18
SVRA,16.98
SVSVU,0.39
SVSVW,0.35
SVT,21.47
SVVC,9.98
SWAV,2.11
SWBI,21.47
SWBK,0.13
SWCH,3.53
SWET,0.12
SWETU,0.26
SWETW,0.12
SWI,2.49
SWIR,20.96
SWK,21.47
SWKH,11.88
SWKS,21.47
SWM,21.47
SWN,21.47
SWT,1.44
SWTX,1.59
SWX,21.47
SWZ,21.47
SXC,9.75
SXI,21.47
SXT,21.47
SXTC,2.28
SY,1.96
SYBT,21.47
SYBX,5.55
SYF,6.72
SYK,21.47
SYKE,21.47
SYN,14.34
SYNA,19.22
SYNH,6.44
SYNL,21.47
SYPR,21.47
SYRS,4.8
SYTA,0.56
SYTAW,0.56
SYX,21.47
SYY,21.47
SZC,8.56
T,21.47
TA,14.21
TAC,19.72
TACA,0.23
TACO,7.27
TACT,21.47
TAEQ,0.94
TAIT,21.47
TAK,12.48
TAL,10.5
TALO,2.94
TANH,6.07
TANNI,8.24
TANNL,6.33
AVAL,6.57
AVAN,0.39
AVAV,14.24
AVB,21.47
AVCO,4.36
AVCT,3.69
TANNZ,5.52
TAOP,14.6
TAP,21.47
TARA,6.49
TARO,21.47
TARS,0.5
TAST,14.35
TATT,21.47
TAYD,21.47
TBA,0.25
TBB,3.44
TBBK,17.21
TBC,2.69
TBCP,0.04
TBCPU,0.19
TBCPW,0.04
TBI,21.47
TBIO,2.8
TBJL,0.66
TBK,6.44
TBKCP,0.83
TBLT,2.37
TBLTW,2.37
TBNK,11.77
TBPH,6.92
TBSAU,0.07
TC,2.41
TCAC,0.03
TCACU,0.17
TCACW,0.03
TCBI,17.68
TCBIL,8.55
TCBIO,0.14
TCBIP,8.07
TCBK,21.47
TCDA,2.8
TCF,21.47
TCFC,19.14
TCFCP,1.71
TCI,21.47
TCMD,4.72
TCOM,17.36
TCON,6.21
TCPC,9.04
TCRR,2.17
TCS,7.46
TCVA,0.01
TCX,21.47
TD,21.47
TDA,8.37
TDAC,2.84
TDACU,2.88
TDACW,2.84
TDC,13.55
TDE,9.94
TDF,21.47
TDG,15.1
TDI,16.02
TDJ,10.06
TDOC,5.8
AVCTW,3.69
AVD,21.47
AVDG,0.29
AVDL,21.47
AVDR,0.29
AVEO,11.1
TDS,21.47
TDUP,0.06
TDW,21.47
TDY,21.41
TEAF,2.06
TEAM,5.35
TECH,21.47
TECK,18.76
TECTP,1.88
TEDU,7.04
TEF,21.47
TEGS,0.94
TEI,21.47
TEKK,0.3
TEKKU,0.48
TEKKW,0.3
TEL,13.85
TELA,1.44
TELL,21.47
TEN,21.47
TENB,2.73
TENX,21.47
TEO,21.47
TER,21.47
TERN,0.19
TESS,21.47
TETCU,0.08
TEVA,21.47
TEX,21.47
TFC,21.47
TFFP,1.48
TFII,12.92
TFJL,0.66
TFSA,0.18
TFSL,13.99
TFX,21.47
TG,21.47
TGA,21.47
TGB,21.47
TGH,13.53
TGI,21.47
TGLS,8.94
TGNA,21.47
TGP,15.96
TGS,21.47
TGT,21.47
TGTX,10.96
TH,7.73
THBR,1.53
THBRU,1.69
THBRW,1.53
THC,21.47
THCA,1.72
THCAU,1.76
THCAW,1.68
THCB,2.06
THCBU,2.12
THCBW,2.06
THFF,21.47
THG,21.47
AVGO,11.7
AVGOP,1.56
AVGR,6.21
AVID,21.47
AVIR,0.46
AVK,17.98
THM,13.97
THMA,0.04
THMAU,0.2
THMAW,0.06
THMO,21.47
THO,21.47
THQ,6.72
THR,9.96
THRM,21.47
THRY,4.22
THS,15.81
THTX,5.28
THW,5.81
THWWW,3.1
THY,0.81
TIG,0.75
TIGO,9.88
TIGR,2.08
TIL,0.08
TILE,21.47
TIMB,0.5
TINV,0.25
TIOAU,0.02
TIPT,10.51
TIRX,0.22
TISI,21.47
TITN,13.35
TIXT,0.2
TJX,21.47
TK,21.47
TKAT,5.39
TKC,20.78
TKR,21.47
TLC,2.4
TLGA,0.07
TLGT,5.48
TLIS,0.17
TLK,20.3
TLMD,1.22
TLMDW,1.22
TLND,4.72
TLRY,2.75
TLS,0.41
TLSA,2.41
TLYS,8.96
TM,21.47
TMAC,0.06
TMAT,0.21
TMBR,5.86
TMDI,11.81
TMDX,1.96
TME,2.35
TMHC,8.02
TMKR,0.13
TMKRU,0.27
TMKRW,0.13
TMO,21.47
TMP,21.47
TMPM,0.3
TMPMU,0.5
AVLR,2.84
AVNS,6.49
AVNT,21.47
AVNW,21.47
AVO,0.54
AVRO,2.82
TMPMW,0.31
TMQ,8.98
TMST,6.83
TMTS,0.45
TMTSW,0.45
TMUS,14.0
TMX,6.81
TNC,21.47
TNDM,7.42
TNET,7.06
TNK,13.35
TNL,14.75
TNP,19.13
TNXP,8.94
TOL,21.47
TOMZ,5.28
TOPS,16.72
TOT,21.47
TOUR,6.94
TOWN,21.47
TPB,4.93
TPC,21.47
TPCO,6.73
TPGS,0.02
TPGY,0.38
TPH,8.21
TPHS,8.56
TPIC,4.74
TPL,21.47
TPR,20.54
TPTX,2.0
TPVG,7.12
TPX,17.34
TPZ,11.72
TR,21.47
TRC,21.47
TRCH,10.44
TREB,0.69
TREC,14.72
TREE,12.68
TREX,21.47
TRGP,10.36
TRHC,4.55
TRI,18.86
TRIB,21.47
TRIL,16.08
TRIN,0.21
TRIP,9.36
TRIT,0.43
TRITW,0.43
TRMB,21.47
TRMD,3.15
TRMK,21.47
TRMT,3.59
TRN,21.47
TRNO,11.19
TRNS,21.47
TROW,21.47
TROX,10.38
TRP,21.47
AVT,21.47
AVTR,1.92
AVXL,14.72
AVY,21.47
AVYA,3.33
AWF,21.47
TRQ,17.42
TRS,13.92
TRST,21.47
TRT,21.47
TRTN,15.52
TRTX,3.74
TRU,5.81
TRUE,20.97
TRUP,6.75
TRV,21.47
TRVG,4.33
TRVI,1.95
TRVN,7.21
TRX,15.94
TS,18.35
TSBK,21.47
TSC,7.94
TSCAP,3.09
TSCBP,1.9
TSCO,21.47
TSE,6.85
TSEM,21.47
TSHA,0.56
TSI,21.47
TSIA,0.29
TSIAU,0.43
TSIAW,0.29
TSIB,0.03
TSIBU,0.17
TSIBW,0.03
TSLA,10.81
TSLX,7.08
TSM,21.47
TSN,21.47
TSOC,0.54
TSP,0.0
TSQ,6.73
TSRI,21.47
TT,21.47
TTC,21.47
TTCF,2.59
TTD,4.57
TTEC,21.47
TTEK,21.47
TTGT,13.93
TTI,21.47
TTM,16.56
TTMI,20.57
TTNP,14.31
TTOO,6.7
TTP,9.48
TTWO,21.47
TU,21.47
TUFN,2.02
TUP,21.47
TURN,4.21
TUSK,4.51
TUYA,0.08
TV,21.47
TVAC,0.18
AWH,20.55
AWI,14.5
AWK,12.99
AWP,13.98
AWR,21.47
AWRE,21.47
TVACU,0.35
TVACW,0.18
TVC,21.47
TVE,21.47
TVTX,8.44
TVTY,21.47
TW,2.04
TWCT,0.44
TWCTU,0.59
TWCTW,0.45
TWI,21.47
TWIN,21.47
TWLO,4.82
TWLVU,0.13
TWN,21.47
TWND,0.48
TWNI,0.02
TWNK,5.38
TWNKW,5.39
TWO,11.47
TWOA,0.05
TWOU,7.06
TWST,2.46
TWTR,7.44
TX,15.21
TXG,1.59
TXMD,17.36
TXN,21.47
TXRH,16.54
TXT,21.47
TY,21.47
TYG,17.15
TYHT,4.55
TYL,21.47
TYME,6.1
TZOO,18.65
TZPS,0.09
TZPSU,0.24
TZPSW,0.1
U,0.58
UA,5.03
UAA,15.42
UAL,15.2
UAMY,21.16
UAN,10.03
UAVS,3.06
UBA,21.47
UBCP,21.47
UBER,1.94
UBFO,21.47
UBOH,21.08
UBP,21.47
UBS,6.41
UBSI,21.47
UBX,2.96
UCBI,19.09
UCBIO,0.87
UCL,0.85
UCTT,17.07
UDR,21.47
AWX,21.47
AX,2.54
AXAS,21.47
AXDX,21.47
AXGN,21.47
AXL,21.47
UE,6.25
UEC,14.04
UEIC,21.47
UEPS,21.47
UFAB,5.8
UFCS,21.47
UFI,21.47
UFPI,21.47
UFPT,21.47
UFS,20.3
UG,21.47
UGI,21.47
UGP,21.47
UGRO,1.42
UHAL,21.47
UHS,21.47
UHT,21.47
UI,9.51
UIHC,13.45
UIS,21.47
UK,0.41
UKOMW,0.41
UL,21.47
ULBI,21.47
ULCC,0.04
ULH,4.96
ULTA,13.48
UMBF,21.47
UMC,20.59
UMH,21.47
UMPQ,21.47
UNAM,21.47
UNB,21.47
UNF,21.47
UNFI,21.47
UNH,21.47
UNIT,5.99
UNM,21.47
UNMA,2.83
UNP,21.47
UNTY,21.47
UNVR,5.83
UONE,21.47
UONEK,20.87
UPC,0.07
UPLD,6.45
UPS,21.45
UPST,0.33
UPWK,2.54
URBN,21.47
URG,12.73
URGN,3.95
URI,21.47
USA,21.47
USAC,8.25
USAK,21.47
